PS,MS,English
¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor,¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor,What did you do today? Tell me - I worked and It was very hot
"He cambiado, porque la niña estaba en el colegio, pero ya no","Cambié, porque la niña estaba en la escuela, pero ya no","I changed, because the girl was in school, but not anymore"
Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal,Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas y así,Today I had to go to a town by car to deliver a few things and stuff
"Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo","Usually, if I'm alone or if there's a commotion, I don't leave work"
Le vamos a coger el gustillo,Le vamos a agarrar el gustito,We're going to take a liking to it
¿Y qué hacéis vosotros para combatir el calor?,¿Y qué hacen ustedes para combatir el calor?,And what do you (plural) do to fight the heat?
"¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente","¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","And what are the most important changes you remember in the city, from when you were little until now? Well, there's a whole lot of people"
"En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","En el descanso, ibas a comer la torta, o semillitas, o lo que fuera","During the break, you'd eat your sandwitch or sunflower seeds or whatever "
Eso es lo que hacen los niños. Hacer líos con tus amiguetes,Eso es lo que hacen los niños. Hacer desmadre con tus compas,That's what kids do. Make trouble with your pals
No hemos tenido jaleos con los del pueblo,No hemos tenido bronca con los del pueblo,We didn't have any trouble with the people from the town
¿Y vosotros cómo la bajasteis?,¿Y ustedes cómo la bajaron?,And how did you get it down?
"Cuando terminaba el colegio a las seis, estabas en la calle, habías hecho los deberes o habías merendado","Cuando terminaba la escuela a las seis, estabas en la calle, habías hecho la tarea o habías comido","When school was over, you were on the street, you had finished your homework, you had eaten (an afternoon snack)"
¿Qué sería bueno que se hiciese?,¿Qué sería bueno que se hiciera?,What would be a good thing to do?
¿Salís vosotros casi siempre con los mismos amigos? - Normalmente con un chaval que es con el que mejor me llevo,¿Salen ustedes casi siempre con los mismos amigos? - Normalmente con un chavo que es con el que mejor me llevo,Do you (plural) usually go out with the same friends? Usually with the guy who I'm closest to
¿Qué os gusta hacer cuando estáis en familia? - Pues charlar,¿Qué les gusta hacer cuando están en familia? - Pues platicar,"What do you like to do when you are together as a family? Well, talking"
"¿Vosotros ibais en coche, no?","¿Ustedes iban en carro, no?","You were going by car, right?"
Cogen el coche y se van a dormir a su casa,Agarraran el carro y se van a dormir a su casa,They take the car and they go home to sleep
,,
Está más guay. Así no sudas y luego puedes traerte una chaqueta,Está más chido. Así no sudas y luego puedes traerte una chamarra,It's cooler (as in awesome). That way you don't sweat and you can bring a jacket
Tan solo voy de paso en el autobús,Nomás voy de pasada en el camión ,I'm just passing through on the bus
¿Puedes revisar si sí está grabando?,¿Puedes checar si sí está grabando?,Can you check if it is recording?
"¡Ay, qué tonto!","¡Ay, qué menso!","Oh, how silly/dumb!"
¿Alguna vez han culpado de algo que tú has hecho?,¿Alguna vez te culparon por algo que tú no hiciste?,Have you ever been blamed for something you didn't do?
¿Alguna vez te han hecho llorar en el colegio o trabajo?,¿Alguna vez te hicieron llorar en la escuela o trabajo?,Did they ever make you cry at school or work?
Nunca había trabajado con ordenadores,Nunca había trabajado con computadoras,I had never worked with computers
En el cementerio están haciendo un puente,En el panteón están haciendo un puente,They're building a bridge on the cemetery
Ha mejorado - Se ha notado mucho,Mejoró - Se notó mucho,It improved - It's been very noticable
"Un día lo cojo con entusiasmo, al otro me mosqueo","Un día lo tomo con entusiasmo, al otro estoy de malas","One day I'm excited about it, the next I'm annoyed"
"Bueno, entonces me has dicho que te llamabas P","Bueno, entonces me dijiste que te llamabas P","Ok, so you told me your name was P"
"Se enfada de todo, pero como te vas a enfadar porque hace calor","Se enoja por todo, pero ni modo que te enojes porque hace calor","They get mad about everything, but how are you gonna get mad because it's hot"
"Estaba muy pequeña la casa, pero estaba muy guay","Estaba muy pequeña la casa, pero estaba muy chida","The house was very small, but it was very cool"
Lo que sea menos morcilla,Lo que sea menos moronga,Anything but blood sausage
Venden tostadas con judías ,Venden tostadas con frijoles,They sell toasts with beans
A veces le echo carne picada,A veces le echo carne molida,Sometimes I add ground meat
"¿Qué tal te llevas con tus vecinos? - Bien, sales y charlas y vacilas y todo eso ","¿Qué tal te llevas con tus vecinos? - Bien, sales y platicas y echas carrilla y todo eso ","How do you get allong with your neighbours? Good, you go out and chat with them and joke around"
Ya ha pasado mucho tiempo,Ya pasó mucho tiempo,A lot of time has passed
"Me gustaba leer desde muy pequeño, pero no sé por qué lo he dejado","Me gustaba leer desde muy chiquito, pero no sé por qué lo dejé","I liked reading since I was little, but I don't know why stopped"
Se ve muy joven porque a él todo le da igual,Se ve muy joven porque a él todo le vale,He looks very young he doesn't really care about anything
Para coger el hilo de la clase otra vez ,Para agarrarle la onda a la clase otra vez,To get te hang of class again
,,
Estaba bonito porque no había coches,Estaba bonito porque no había carros,It was pretty because there were no cars
"Quieres dormir, pero no puedes porque pasasan autobuses ","Quieres dormir, pero no puedes porque pasasan camiones","You want to sleep, but you can't because there's busses passing through"
Cuando yo era niño casi no había campos de fútbol,Cuando yo era niño casi no había canchas de fútbol,"When I was a kid, there were almost no football pitches"
"Ahora tenemos oportunidad de ir al estadio, pero antes no","Ahora tenemos chance de ir al estadio, pero antes no","Now we have the chance to go to the stadium, but not before"
¿Cómo consideras que es tu mamá? - Es guay,¿Cómo consideras que es tu mamá? - Es buena onda,What do you think your mum is like? She is cool
"Los críos ya no quieren un cochecito madera, quieren un coche de plástico y con control remoto ","Los morros ya no quieren un carrito de madera, quieren un carro de plástico y con control remoto ","Kids nowdays don't want a wooden toy car, they want a plastic car with remote control"
Ahora ya tan solo le mueves al coche y se va para donde tú quieras,Ahorita ya nomás le mueves al carro y se va para donde tú quieras,Now you just move the car and it goes wherever you want it to
"Me la paso aquí y allá, charlando con mis colegas","Me la paso aquí y allá, cotorreando con mis compas","I go from here to there, chatting with frends "
"Ha causado mucho sufrimiento para mi  jefe, que es lo que más me entristecía","Causó mucho sufrimiento para mi  jefe, que es lo que más me agüitaba","It caused a lot of suffering for my boss, which is what upset me the most"
"Yo te conozco, tronco ¡Qué te vaya bien!","Yo te conozco, carnal ¡Qué te vaya bien!","I know you, bro. Have a good time! "
"Yo me quedaba aquí, haciendo los deberes","Yo me quedaba aquí, haciendo la tarea","I'd stay here, doing homework"
A mí la verdad es que no se me ha dado muy bien el colegio,A mí la neta es que no se me dió muy bien la escuela,"Truth is, I was not very good at school"
A mi hermano le gustaba conducir ,A mi hermano le gustaba manejar,My brother liked to drive
cuéntame ¿Qué  hicisteis?,Cuéntame ¿Qué  hicieron?,Tell me. What did you (plural) do?
"¿De pequeño, vosotros que haciais durante las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais?","¿De niño, ustedes que hacian durante las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?",And holidays? Would you go somewhere or where would you spend them? 
"Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogiamos el autobús a las seis de la mañana","Como mi padre no tuvo coche hasta que era bastante mayor, nos ibamos camión a las seis de la mañana ","Since my father didn't have a car untill he was quite old, we'd take the bus at six in the morning"
Hoy en día coges el coche y en dos minutos estás allí,Hoy en día agarras el carro y en dos minutos estás allí,"Nowdays, you take the car and in two minutes you're there"
Coges un autobús y en menos de una hora te has atravesado la ciudad entera,Agarras un camión y en menos de una hora te has atravesado la ciudad entera,You take a bus and in less than an hour you've crossed the entire city
"Cogía mi lápiz, mi boli, y apuntaba las recetas","Agarraba mi lápiz, mi pluma, y apuntaba las recetas","I'd take my pencil, my pen, and I'd write down the recipes "
¿Qué fiestas locales celebráis vosotros?,¿Qué fiestas locales celebran ustedes?,Which local holidays do you (plural) celebrate?
Menos mal que no lo he visto,Menos mal que no lo ví,Thankfully I didn't see it
" Sí, he sido yo","Sí, fuí yo","Yes, it was me"
Me paso muchas horas con el ordernador,Me paso muchas horas con la computadora,I spend many hours on the computer
Vienen muchos críos jóvenes,Vienen muchos chamacos jóvenes,A lot of young kids come here
Yo casi nunca usaba chaqueta,Yo casi nunca usaba chamarra,I almost never wore a jacket
"Y en un espacio de quince minutos, ha dejado de llover","Y en un espacio de quince minutos, dejó de llover","And in a fifteen minutes span, it stopped raining"
Salgo y camino un par de manzanas,Salgo y camino un par de cuadras,I go out and walk a couple of blocks
Tengo colegas caquí,Tengo compas aqui,I have friends here
A veces nos bebemos una birra o algo,A veces nos tomamos una cheve o algo,Sometimes we drink a beer or something
Vamos a ver qué tal,Vamos a ver qué onda,We're going to see what's up
Esa ha estado guay,Esa estuvo chida,That one was cool
¿Dónde queda un quiosco de periódicos por aquí? - A dos manzanas,¿Dónde queda un puesto de periódicos por aquí? - A dos cuadras,Where's a newspaper stand around here? Two blocks away
¿De  aquí? He tardado diez minutos,¿De  aquí? Tardé diez minutos,From here? It took me ten minutes
"Cuando tengo que venir, pues vengo andando","Cuando tengo que venir, pues vengo caminando","When I have to come, well, I walk"
Llevo un mes y pico sin venir,Llevo un mes y cacho sin venir,I haven't come here in a month and change 
¿Qué habéis estado haciendo vosotros?,¿Qué han estado haciendo ustedes?,What have you (plural) been doing?
¿Y las relaciones entre la gente también han cambiado?,¿Y las relaciones entre la gente también cambiaron?,And the relationships between people have also changed?
¿Cuántos sois? - ¡Ostras! Somos seis,¿Cuántos son? - ¡Orale! Somos seis,How many of you are there? Wow! There's six of us
,,
Hay muchos gamberretes por ahí,Hay muchos pingos por ahí,There's a lot of trouble-makers around there
"En mi calle, no se puede pasar por la acera por todos los coches","En mi calle, no se puede pasar por la banqueta por todos los carros","On my street, you can't walk on the sidewalk due to all the cars"
¿Qué se podría hacer para eso? - Garajes subteráneos,¿Qué se podría hacer para eso? - Cocheras subteráneas,What could be done about it? Underground garages
"Todas las aceras están atascadas, llenas de coches","Todas las banquetas están atascadas, llenas de carros","All the sidewalks are crowded, full of cars"
¿Qué se hace en un una fiesta? - Beber y charlar,¿Qué se hace en un una fiesta? - Tomar y platicar,What do you do at a party? - Drink and chat
Con eso no tienes ni para pipas en un bar,Con eso no tienes ni para semillitas de girasol en un bar,"With that, you can't even buy sunflower seeds at a bar"
"Juntos, con otros dos chavales","Juntos, con otros dos chavos","Together, with two other guys"
"Ya he comprendido que es muy peligroso, así que he vendido mi moto","Ya entendí que es muy peligroso, así que vendí mi moto","I understand now, and I sold my motorcycle"
Mi novia y yo nos vamos a apuntar a la autoescuela para sacaros el carnet,Mi novia y yo nos vamos a apuntar a la escuela de manejo para sacaros la licencia,My girlfriend and I are going to sign up for driving school to get our licenses
Llevaba a otro chaval detrás,Llevaba a otro chavo detrás,I had another guy behind me
Toquemos madera ¿No? Que no le ha pasado nada a nadie,Toquemos madera ¿No? Que no le pasó nada a nadie,"Knock on wood, no? That nothing bad happened to anyone"
Os ha venido bien a los dos,Les vino bien a los dos,It was good for the both of you
¿Teneis idea de compraros algún piso para vosotros? ¿Habéis mirado o algo así?,¿Tienen idea de comprarse algún apartamento para ustedes? ¿Han mirado o algo así?,Do you have any ideas of buying an appartment for you two? Have you looked or anything?
¿Cuántos hermanos sois vosotros?,¿Cuántos hermanos son ustedes?,How many siblings are you? 
¿Vosotros sois los pequeños de la familia?,¿Ustedes son los pequeños de la familia?,Are you (plural) the youngest in the family?
¿Y vosotros qué hacéis allí? ¿Cómo os organizáis durante las vacaciones para las comidas y todo eso?,¿Y ustedes qué hacen allí? ¿Cómo se organizan durante las vacaciones para las comidas y todo eso?,And what do you (plural) do there? How do you organise yourselves during the holidays for meals and all that?
¿Vosotros celebráis la noche vieja en tu casa? ¿Qué soléis hacer ahí?,¿Ustedes celebran la noche vieja en tu casa? ¿Qué suelen hacer ahí?,Do you (plural) celebrate New Year's Eve at your place? What do you (plural) usually do there?
Cada año veo a la gente más a su bola,Cada año veo a la gente más a su onda,"Each year, I see more poeople doing their own thing"
¿Tú ahora a qué te dedicas? - Soy camarero,Tu a que te dedicas? - Soy camarero,What do you do now? - I'm a waiter
"Te les quedas viendo directamente a los ojos, y ya les has ofendido","Te les quedas viendo directamente a los ojos, y ya los ofendiste","You stare directly into their eyes, and you've offended them"
¿Más grandes o más pequeños?,¿Más grandes o más chicos?,Bigger or smaller?
"Bueno, según lo que me han dicho a mí","Bueno, según lo que me dijeron a mí","Well, according to what I've been told"
¿Y eran de tus colegas? ,¿Y eran de tus cuates?,And they were your friends? 
Eso incluso ha salido en el periódico,Eso incluso salió en el periódico,That was even on the newspaper
La verdad no sabía que era tan cutre,La verdad no sabía que estaba tan gacho,I honestly didn't know it was so bad 
¿Cual es el lugar más chungo al que te hayas metido?,¿Cual es el lugar más gacho al que te hayas metido?,What's the worst place you've ever been?
¿Qué te ha hecho cambiar de vida?,¿Qué te hizo cambiar de vida?,What made you change your life?
"Era muy enfadadizo, me enfadaba muy rápido","Era muy enojón, me enojaba muy rápido","I was very short-tempered, I got angry very quickly"
Ella ha sido la única persona que ha confiado en mí ,Ella fue la única persona que confió en mí ,She's the only person who trusted me
,,
¿Tú recuerdas si eso también sucedía cuando tú eras pequeño? ,¿Tú recuerdas si eso también pasaba cuando tú eras chico?,Do you remember if that also happened when you were a kid?
"Cuando estabas en el colegio, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacíais los días de nevada? ","Cuando estabas en la escuela, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacian los días de nevada? ","When you were in school, when it snowed, it was the best day. -  What would you do on snowy days? "
"Cogí al hermano de uno de mis amigos, que era pequeño, y lo metí en el coche","Aggaré al hermano de uno de mis amigos, que era chico, y lo metí en el carro","I took the brother of one of my friends, who was little, and I put him in the car"
Ha caido un rayo y ha encendido un depósito de neumáticos,,A lightning struck and set fire to a tire depot
¿Se han hecho construcciones nuevas? - Pues se han construido sobre todo aparcamientos,¿Se hicieron construcciones nuevas? - Pues se construyeron sobre todo estacionamientos,"Have any new constructions been made? - Well, mostly parking lots have been built"
"Tenía el coche aparcado, pero no me avisaron que tenía que moverlo ","Tenía el carro estacionado, pero no me avisaron que tenía que moverlo ","My car was parked, but they didn't tell me I had to move it"
"Lo que sí que he visto, es que han ampliado las aceras y han quitado muchas plazas de aparcamiento ","Lo que sí que vi, es que ampliaron las banquetas y quitaron muchas espacios de estacionamiento","What I did see, is that they widened the sidewalks and removed many parking spots"
,,
,,
En las zonas de garitos pues siempre habrá alguna trifulca,En las zonas de antros pues siempre habrá alguna bronca,"In the bar areas, there's always gonna be some scuffle"
¿Siempre vais los mismos? ¿Y vosotros estáis asociados de alguna manera?,¿Siempre van los mismos? ¿Y ustedes estan asociados de alguna manera?,Do the same people always go? And are you all associated in some way?
Vosotros podéis hacerlo en cualquier descampado,Ustedes pueden hacerlo en cualquier lote baldío,You (plural) can do it in any open field
Lo primero que he hecho ha sido comprarme un piso ,Lo primero que hice fue comprarme un apartamento,The first thing I did was buy an appartment 
"Coges una sartén, pones a dorar ajo. Después coges una cucharada pequeña de pimentón, lo echas y remueves","Agarras una sartén, pones a dorar ajo. Después agarras una cucharada pequeña de páprika, lo echas y remueves","You take a frying pan, fry up garlic. Then you take a small spoonful of paprika, add it, and stir"
"A mí me encantaría una chica normal. Que fuera rubia, con los ojos azules","A mí me encantaría una chava normal. Que fuera güera, con los ojos azules","I'd love a normal girl. Blonde, with blue eyes"
"Tranquilo, que yo no conducía y lo he visto todo. Te voy a ayudar","Tranquilo, que yo no manejaba y lo ví todo. Te voy a ayudar","Don't worry, I wasn't driving and I saw everything. I'll help you"
,,
¡Ostras! Qué difícil ¿No? ,¡Híjole! Qué difícil ¿No? ,"Wow! How difficult, no?"
"Como no vivo con él, me dió igual su opinión","Como no vivo con él, me valió su opinión","Since I don't live with him, I didn't care about his oppinion"
A ella le gusta mucho verme bailar. - ¡Qué guay!,A ella le gusta mucho verme bailar. - ¡Qué padre!,She really likes seeing me dance. - How cool!
Esa fue también otra historia muy chunga,Esa fue también otra historia bien cañona,That was also another very complicated story
Entonces empecé a salir con él,Entonces empecé a andar con él,Then I started dating him
Mi hermano estaba ahí cotilleando,Mi hermano estaba ahí de metiche,"My brother was there, being nosy"
Ya he decidido dejarl de hablares. Ya me da igual,Ya decidí dejarles de hablar. Ya me valió,I've decided to stop talking to them. I don't care
"Entonces construimos una especie de piso, y es donde estoy viviendo ahora","Entonces construimos una especie de departamento, y es donde estoy viviendo ahorita","Then we built some sort of apartment, and that's where I'm living now"
Ahora pues ya han empezado a vender todo eso. - ¿Y antes no?,Ahorita pues ya empezaron a vender todo eso. - ¿Y a poco antes no?,
,,
¿Sabes qué propuesta me ha gustado mucho?,¿Sabes qué propuesta me gustó mucho?,Do you know which proposal I really liked?
¡Ostras! ¿Quién ha echo ese montaje?,¡Órale! ¿Quién hizo ese montaje?,Wow! Who did that staging?
A mi me ha gustado. A dado mucho de qué hablar,A mí me gustó. Dió mucho de qué hablar,I liked it. It gave a lot to talk about
Pero ese no me ha gustado. Como que no ha tenido nada más interesante que eso,Pero ese no me gustó. Como que no tuvo nada más interesante que eso,But I didn't like it. It's like it didn't have anything more interesting than that. 
"¿Tú recuerdas que antes, cuando tú eras niño, hacía este calor también?","¿Tú recuerdas que antes, cuando tú eras chico, hacía este calor también?","Do you remember before, when you were a kid, it was this hot?"
Yo soy muy vago para todo eso,Yo soy muy flojo para todo eso,I'm too lazy for all that
Vosotros veríais muchas situaciones así,Ustedes verian muchas situaciones así,You'd see many situations like that
"Tú te sentías bien ayudándoles un poquillo. Les servíamos la comida, les limpiábamos las hojas del patio, y charlabamos","Tú te sentías bien ayudándoles un poquito. Les servíamos la comida, recogiamos las hojas en el patio, y platicabamos","You'd feel good helping them a little. We'd serve food, clean up the leaves in the yard, and chat with them"
¿Pero lo llevabais vosotros o no?,¿Pero lo llevaban ustedes o no?,But were you (plural) carrying it or not?
"Parece una chorrada, pero funciona","Parece una jalada, pero funciona","It seems like nonsense, but it works"
Es amigo mío desde desde el colegio,Es amigo mío desde desde la escuela,He's been my friend since school
"A lo mejor un día te cabreas y tal, pero siempre se han arreglado bastante bien las cosas","A lo mejor un día te enojas y así, pero siempre se arreglaron bastante bien las cosas","Maybe one day you get mad and stuff, but things have always worked out pretty well"
Yo me iba por las mañanas a currar,,I'd go to work in the mornings
Yo llevo ahí desde las siete de la mañana y no he ido a comer,Yo llevo ahí desde las siete de la mañana y no fuí a comer,I've been there since seven in the morning and I didn't have lunch
Creo que voy a suspender. - ¿Cuándo salen las notas?,Creo que voy a reprobar. - ¿Cuándo salen las calificaciones?,I think I'm going to fail. - When do the grades come out?
"El era un chico muy infantil para su edad. Yo sí recuerdo que cuando yo era pequeño, el ya se veía más mayor.","El era un chavo muy infantil para su edad. Yo sí me acuerdo que cuando yo estaba chico, el ya se veía más mayor.","He was  a very childish boy for his age. I remember that when I was little, he looked older. "
"No ganabas nada más que  poder decir ""he ganado"", ""hemos ganado""","No ganabas nada más que  poder decir ""gané"", ""ganamos"".","You wouldn't win anything other than being able to say ""I won"", ""we won"""
"Ellos sí han cambiado, pues han crecido y todo eso","Ellos sí cambiaron, pues crecieron y todo eso","They've changed, since they've grown up and all that"
Me cuentan que nos han quitado el coche,Me platican que nos quitaron el carro,They tell me they've taken the car away
Recuerdo muy bien que vi la imagen del auto,Me acuerdo muy bien de que vi la imagen del carro,I remember very well that I saw the image of the car
Se ha notado que toda la familia quiso ir y se ha portado de lo más amable,Se notó que toda la familia quiso ir y se portó de lo más linda,It's been noticable that the whole family wanted to go and they've behaved very nicely
La preocupacíon se notaba enseguida en las notas del colegio. Pero un profesor me decía que no me preocupara,La preocupacíon se notaba luego luego en las calificaciones de la escuela. Pero un maestro me decía que no me preocupara,The worry was immediatly noticable in the grades at school. But a teacher told me not to worry about it 
,,
¿Qué ha pasado? ¿Se ha enfadado?,¿Qué pasó? ¿Se enojó?,What happened? Did he get mad?
Tiene miedo a salir y coger un coche. Va a ser difícil hasta que no vuelva a coger otra vez confianza. ,Tiene miedo a salir y agarrar un carro. Va a ser difícil hasta que no vuelva a agarrar otra vez confianza. ,He's afraid to go out and take a car. It's going to be hard until he regains his confidence
"Yo tan solo decía ""Señor, nada más déme la oportunidad de demostrarle lo que puedo hacer""","Yo nomás decía ""Señor, nada más déme chance de demostrarle lo que puedo hacer""","I only said ""Sir, give me the chance to show you what I can do"""
¡Felicidades! Te quedó muy chulo. Tu proyecto ha ganado ¡Me ha gustado! ,¡Felicidades! Te quedó padrísimo. Tu proyecto ganó ¡Me gustó! ,Congratulations! It came out great. Your project won. I liked it! 
"Ven en enero, porque ya se ha acabado ahora","Vente en enero, porque ya se acabó ahorita ","Come in January, because it's already over now"
"Desde hace siete meses pude haber tenido coche nuevo, pero no me quise aventurar tanto porque todavía tenía la preocupación de mi carnet","Desde hace siete meses pude haber tenido carro nuevo, pero no me quise aventurar tanto porque todavía tenía la preocupación de mi licencia","For seven months I could've had a new car, but I didn't want to be so bold since I was still worriyng about my license"
He dejado de pagar a los carpinteros porque han estado haciendo el vago,Dejé de pagarles a los carpinteros porque estuvieron flojeando ,"I stopped paying the carpenters, because they've been slacking off"
Fui a la oficina a por mi chaqueta y apagué el ordenador,Fui a la oficina a por mi chamarra y apagué la computadora ,I went to the office to get my jacket and I turned off the computer
Veníos todos en mi coche,Vénganse todos en mi carro,"All of you, come in my car"
Ella no se llevaba su coche nuevo porque es un poco tacaña,Ella no se llevaba su carro nuevo porque es un poquito codita,She woulnd't take her new car because she's a bit stingy
"¿El sale con esta chica? - Sí, es muy mona","¿El anda con esta chava? - Sí, es bien linda","Is he dating this girl? - Yes, she's very cute"
"Vale, explícame qué has hecho hoy","Okay, explícame qué hiciste hoy","Okay, tell me what you did today"
"¿Y cómo has marcado? ¿De penalti? - No, me lo ha pasado el portero y he corrido","¿Y cómo marcaste? ¿De penal? - No, me lo pasó el portero y corrí","And how did you score? A penalty kick? - No, the keeper passed it to me and I ran"
Yo he jugado toda la vida y lo echo de menos,Yo jugé toda la vida y lo extraño,I played it all my life and I miss it
¿Y vosotros tenéis bastantes cambios o sois pocos?,¿Y ustedes tienen bastantes cambios o son pocos?,And do you (plural) have many subs or are you just a few players?
"Durante el partido, me he hecho daño en la mano","Durante el partido, me lastimé la mano",I hurt my hand and didn't play for a while
"Donde trabajo yo, hacemos tiritas. - ¿Y tú te puedes coger muestras y todo eso?","Donde trabajo yo, hacemos curitas. - ¿Y tú te puedes agarrar muestras y todo eso?","Where I work, we make bandages. - And can you take samples and all that?"
¿Y vosotros habéis planeado ya algo? ¿Habéis  buscado un hotel?,¿Y ustedes ya planearon algo? ¿Buscaron un hotel?,And have you (plural) planned something already? Did you look for a hotel?
¿Y el billete de avión? ¿Vosotros tenéis algo?,¿Y el boleto de avión? ¿Ustedes tienen algo?,And the plane ticket? Do you (plural) have anything?
¿Y vosotros cómo os lo montaréis? ¿Qué tenéis pensado hacer?,¿Y ustedes cómo se organizan? ¿Qué tienen pensado hacer?,And how are you guys going to organize? What are you planning on doing?
"Jolín, aquí cuesta una pasta salir de fiesta","Chín, aquí cuesta una lana salir de fiesta","Wow, going out partying here costs a fortune"
Yo a este le he hecho de canguro,Yo a este le hice de nana,I babysat this one
Yo trabajaba de camarero con mi hermana,Yo trabajaba de mesero con mi hermana,I was working as a waiter with my sister
¿Todos vosotros os conocéis? ¿Hacéis vida de pueblo?,¿Todos ustedes se conocen? ¿Hacen vida de pueblo?,Do you all know each other? Do you live a small-town life?
¿Y qué tal? ¿Cómo vas en la el colegio?,¿Y qué tal? ¿Cómo vas en la escuela?,How are you? How is school going?
¿Cómo celebrais vosotros la cuaresma?,¿Cómo celebran ustedes la cuaresma?,How do you (plural) celebrate lent?
Ya estás por salir del colegio ¿Qué planes tienes o qué esperas? - Yo siento que no voy a trabajar de lo que he estudiado,Ya estás por salir de la escuela ¿Qué planes tienes o qué esperas? - Yo siento que no voy a trabajar en lo que estudié,You're almost done with school. What plans do you have or what are you expecting? - I don't feel like I'll be working in what I studied
Mi papá ahora tiene oportunidades muy grandes y necesita gente,Mi papá ahorita tiene oportunidades muy grandes y ocupa gente,My dad has big opportunities now and he needs people
"Es una universidad pública, pero realmente la gente era muy pija","Es una universidad pública, pero realmente la gente era muy fresa","It's a public university, but the people were very posh"
Y vosotros os vais al patio con el bocadillo,Y ustedes se van al patio con la torta,And you (plural) go to the yard with your sandwtich
Con el bocata con el papel de plata y todo,Con la torta con el papel aluminio y todo,With the sandwitch with tinfoil and everyhting 
"La gente era muy maja en la clase, o sea, muy buen rollo y tal ","La gente era muy linda en la calle, o sea, muy buena onda y así","The people were very nice in class, I mean, good vibes and such"
Ir de viaje me da un poco de pereza,Ir de viaje me da un poco de flojera,I'm a bit lazy about travelling 
Las clases con usted han sido muy bonitas,Las clases con usted fueron muy lindas,Your classes were very nice
¡Ostras! ¿Y yo qué he hecho con el día?,¡Órale! ¿Y yo qué hice con el día?,Wow! And what did I do with the day?
"Cuando llego a mi piso, pues miro en la nevera para ver que tengo","Cuando llego a mi apartamento, pues miro en el refrigerador para ver que tengo","When I get to my apartment, I look in the fridge to see what's available to me"
"Entonces no te gusta mucho cocinar ¿no? - Sí que me gusta, pero me me da un poco de pereza. A veces hago bizcochos y eso","Entonces no te gusta mucho cocinar ¿no? - Sí que me gusta, pero me me da un poco de flojera. A veces hago pastel y eso","You don't really like cooking then, no? - I do like it, it's just that I'm a little lazy. Sometimes I make cakes and stuff"
La ciudad realmente tiene zonas bastante chungas,La ciudad realmente tiene zonas bastante gachas,The city has some really rough areas
Está muy bien el piso. Lo ha comprado mi madre,Está muy bien el apartamento. Lo compró mi madre,It's a good apartment. My mother bought it
¿Cada cuanto os visita a vosotros?,¿Cada cuanto los visita a ustedes?,How often does she visits you (plural)?
¿Y qué haceis vosotros normalmente en navidad? ,¿Y qué hacen ustedes normalmente en navidad? ,And what do you (plural) usually do on Christmas?
¿Vosotros los invitais? ¡Que guay!,¿Ustedes los invitan? ¡Que padre!,You invite them? How cool!
"En aquel entonces yo no sabía conducir, porque era pequeño","En aquel entonces yo no sabía manejar, porque estaba chico","Back then I didn't know how to drive, because I was little"
Me gusta escuchar la radio en el coche,Me gusta escuchar la radio en el carro,I like to listen to the radio in the car
"¿Usas el ordenador?- Sí, para estudiar o para hacer los deberes ","¿Usas la computadora?- Sí, para estudiar o para hacer la tarea","Do you use the computer? - Yes, to study or to do homework"
¿Envías y recibes mensajes por el móvil?,¿Envías y recibes mensajes por celular?,Do you send and receive messages by mobile phone?
"¿Y dónde trabajas ahora? - Pues como músico, veces toco  en hoteles , a veces en clubs, y a veces en eventos privados","¿Y dónde trabajas ahorita? - Pues como músico, veces toco  en hoteles , a veces en antros , y a veces en eventos privados","And where do you work now? - Well, as a musician, sometimes I play at hotels, sometimes at clubs, and sometimes at private events"
¿Cuántas bombillas hay en tu casa?,¿Cuántos focos hay en tu casa?,How many lightbulbs are there in your house?
